key,element,category,area_m2,pct_of_site
01,South arrival plaza (main entry),HARD,136.0,2.1
02,Central plaza & seating terraces,HARD,322.0,5.1
03,Green spine — native shade planting,SOFT,475.3,7.5
04,"Green spine accessible path, 3.0 m",HARD,137.0,2.2
05,"Jogging & walking loop, 2.0 m",HARD,545.6,8.6
06,"Secondary accessible paths, 2.0 m",HARD,114.5,1.8
07,Multi-use court 25x15 m + 1 m run-off (TO VERIFY),ACTIVITY,459.0,7.2
08,"Children's play area, rubber safety surface",ACTIVITY,348.0,5.5
09,Outdoor fitness zone,ACTIVITY,132.0,2.1
10,Community clubhouse (footprint),STRUCTURE,100.0,1.6
11,Service / toilets / plant,STRUCTURE,30.0,0.5
12,"Shade pergolas (3 nos, 4x10 m)",STRUCTURE,120.0,1.9
13,Lawn terraces & planting beds (TSE),SOFT,3428.7,54.0
